Date,Open,High,Low,Close,Adj Close,Volume
2023-09-26,156.509995,156.509995,156.509995,156.509995,156.509995,0
2023-09-27,156.320007,156.320007,156.320007,156.320007,156.320007,0
2023-09-28,157.070007,157.070007,157.070007,157.070007,157.070007,0
2023-09-29,157.449997,157.449997,157.449997,157.449997,157.449997,0
2023-10-02,154.949997,154.949997,154.949997,154.949997,154.949997,0
2023-10-03,153.220001,153.220001,153.220001,153.220001,153.220001,0
2023-10-04,null,null,null,null,null,null
2023-10-05,154.630005,154.630005,154.630005,154.630005,154.630005,0
2023-10-06,155.759995,155.759995,155.759995,155.759995,155.759995,0
2023-10-09,156.020004,156.020004,156.020004,156.020004,156.020004,0
2023-10-10,158.119995,158.119995,158.119995,158.119995,158.119995,0
2023-10-11,158.869995,158.869995,158.869995,158.869995,158.869995,0
2023-10-12,156.990005,156.990005,156.990005,156.990005,156.990005,0
2023-10-13,154.960007,154.960007,154.960007,154.960007,154.960007,0
2023-10-16,156.559998,156.559998,156.559998,156.559998,156.559998,0
2023-10-17,157.449997,157.449997,157.449997,157.449997,157.449997,0
2023-10-18,153.210007,153.210007,153.210007,153.210007,153.210007,0
2023-10-19,151.850006,151.850006,151.850006,151.850006,151.850006,0
2023-10-20,150.339996,150.339996,150.339996,150.339996,150.339996,0
2023-10-23,150.139999,150.139999,150.139999,150.139999,150.139999,0
2023-10-24,149.889999,149.889999,149.889999,149.889999,149.889999,0
2023-10-25,148.460007,148.460007,148.460007,148.460007,148.460007,0
2023-10-26,149.149994,149.149994,149.149994,149.149994,149.149994,0
2023-10-27,148.000000,148.000000,148.000000,148.000000,148.000000,0
2023-10-30,148.839996,148.839996,148.839996,148.839996,148.839996,0
2023-10-31,150.139999,150.139999,150.139999,150.139999,150.139999,0
2023-11-01,null,null,null,null,null,null
2023-11-02,154.139999,154.139999,154.139999,154.139999,154.139999,0
2023-11-03,157.270004,157.270004,157.270004,157.270004,157.270004,0
2023-11-06,156.100006,156.100006,156.100006,156.100006,156.100006,0
2023-11-07,155.669998,155.669998,155.669998,155.669998,155.669998,0
2023-11-08,155.660004,155.660004,155.660004,155.660004,155.660004,0
2023-11-09,156.240005,156.240005,156.240005,156.240005,156.240005,0
2023-11-10,156.820007,156.820007,156.820007,156.820007,156.820007,0
2023-11-13,157.190002,157.190002,157.190002,157.190002,157.190002,0
2023-11-14,163.360001,163.360001,163.360001,163.360001,163.360001,0
2023-11-15,163.740005,163.740005,163.740005,163.740005,163.740005,0
2023-11-16,163.309998,163.309998,163.309998,163.309998,163.309998,0
2023-11-17,164.320007,164.320007,164.320007,164.320007,164.320007,0
2023-11-20,164.169998,164.169998,164.169998,164.169998,164.169998,0
2023-11-21,164.410004,164.410004,164.410004,164.410004,164.410004,0
2023-11-22,164.820007,164.820007,164.820007,164.820007,164.820007,0
2023-11-24,166.490005,166.490005,166.490005,166.490005,166.490005,0
2023-11-27,166.250000,166.250000,166.250000,166.250000,166.250000,0
2023-11-28,165.639999,165.639999,165.639999,165.639999,165.639999,0
2023-11-29,166.179993,166.179993,166.179993,166.179993,166.179993,0
2023-11-30,167.029999,167.029999,167.029999,167.029999,167.029999,0
2023-12-01,168.880005,168.880005,168.880005,168.880005,168.880005,0
2023-12-04,168.899994,168.899994,168.899994,168.899994,168.899994,0
2023-12-05,168.429993,168.429993,168.429993,168.429993,168.429993,0
2023-12-06,169.910004,169.910004,169.910004,169.910004,169.910004,0
2023-12-07,170.139999,170.139999,170.139999,170.139999,170.139999,0
2023-12-08,170.630005,170.630005,170.630005,170.630005,170.630005,0
2023-12-11,171.330002,171.330002,171.330002,171.330002,171.330002,0
2023-12-12,171.880005,171.880005,171.880005,171.880005,171.880005,0
2023-12-13,174.149994,174.149994,174.149994,174.149994,174.149994,0
2023-12-14,178.029999,178.029999,178.029999,178.029999,178.029999,0
2023-12-15,176.990005,176.990005,176.990005,176.990005,176.990005,0
2023-12-18,176.490005,176.490005,176.490005,176.490005,176.490005,0
2023-12-19,178.960007,178.960007,178.960007,178.960007,178.960007,0
2023-12-20,177.929993,177.929993,177.929993,177.929993,177.929993,0
2023-12-21,178.820007,178.820007,178.820007,178.820007,178.820007,0
2023-12-22,179.490005,179.490005,179.490005,179.490005,179.490005,0
2023-12-26,null,null,null,null,null,null
2023-12-27,180.919998,180.919998,180.919998,180.919998,180.919998,0
2023-12-28,180.970001,180.970001,180.970001,180.970001,180.970001,0
2023-12-29,180.009995,180.009995,180.009995,180.009995,180.009995,0
